,name,review_time,review
"MSK Plaza, 100 Feet Rd, HAL 2nd Stage, Defence Colony, Indiranagar, Bengaluru, Karnataka 560058",John K P,a day ago,Great place for people to chill
"23:01,22-02-2024",Shashi Dharan,a day ago,
,prashanthi P,4 days ago,Good
,bharath s,a week ago,
,ONE TWO ONE TWO,a week ago,
,dinesh song,a week ago,
,sundaravathanan chellappan,a week ago,Nice coffee
,Christy Abraham,a week ago,"Good place to chill out, good behaviour from staff, peaceful"
,Faique Shakil,2 weeks ago,It was good.
,Neel Modi,2 weeks ago,
,Vivi,2 weeks ago,"Cafe Coffee Day offers a laid-back atmosphere, perfect for unwinding. While the service is average, the spacious environment provides a great place to relax. Enjoy your favorite coffee in a comfortable setting, making it an ideal spot for those seeking a casual and chill cafe experience."
,Rajen keot,2 weeks ago,
,KasturiRangan Chakravarthy,2 weeks ago,Super👌👌👌 …
,Hari Kumar,2 weeks ago,"We visited in the night to grab a nice cold coffee and sit peacefully outside. Service was prompt. Staff is cooperative. Outdoor seating has mosquitoes. I hope they do something about it, overall it's fine."
,Vagdevi Nagabhushan,3 weeks ago,
,SPANZIO interiors,3 weeks ago,
,Hitesh Jain,3 weeks ago,
,Ankita Shukla,3 weeks ago,
,Raksha Karan,4 weeks ago,
,Asad Sheikh,a month ago,
,Kt Fairoos,a month ago,It's not 24hours
,fsn K,a month ago,
,jagdeep gh,a month ago,"Very calm and nice place
Good is good but expensive
Atmosphere is very good"
,Anagha Manoj,a month ago,
,Mahesh Anandaiah (MAHESH),a month ago,
,ahmadh schefferzu,a month ago,
,manikanta s,a month ago,
,Ani Cha,a month ago,
,Dewangee Rawal,a month ago,
,Sujay MY,a month ago,
,Seema Bharath,a month ago,
,Swarup Kumar Singh,a month ago,Good
,Sreekanth Kanugovi,a month ago,
,Nithesh rao,a month ago,
,Ram A,a month ago,Enjoyed a quiet evening with an amazing friend. Thanks for the ambience 💯 …
,Mazhar Mohammed,2 months ago,
,ᎿᏂᏋ ᏊᎲᎿᏣᏂᏋᖇ,2 months ago,
,Stinson Rodrigues,2 months ago,
,Goutam Shanbhag,2 months ago,
