,name,review_time,review
"Nirmal Sadan, 172/A, Residency Rd, Sindhi Colony, Sector-E, Shastri Nagar, Jodhpur, Rajasthan 342001",Sramana Dey,a month ago,
"20:56,19-02-2024",akshay solanki,2 months ago,Nice cozy place
,Shyam Bohra,2 months ago,"Nice place to take your somewhat expensive coffee. And types of fast food.
The atmosphere is quiet and calm.
Not wheelchair accessible. …"
,vivek gupta,2 months ago,
,Amit Uttamchandani,2 months ago,
,Somesh Saxena,3 months ago,
,Manan Arora,3 months ago,
,marudhar kumbhat,4 months ago,
,Sunil Tungariya,4 months ago,
,Krishan Kant Vyas,5 months ago,
,Mahendra Singh,5 months ago,Please maintain the hygiene outside and inside as well.
,Rishit Patel,5 months ago,
,Murtaza Hussain,5 months ago,
,SUNIL MEHTA,5 months ago,Standard cafe coffee day outlet
,Sumit Chauhan,5 months ago,Best CCD in town 😊 …
,Harish Khatri,5 months ago,Furniture is old and dirty. Cleanliness is very bad.
,irahul3,5 months ago,👌👌 …
,Susmita Vyas,5 months ago,"This is one of the many other CCDs in Jodhpur. The Croissant was a little bit soggy, the Garlic Bread had a too strong of a garlic flavor and the cheese was not melted properly, it felt as if they took it out of the freezer and threw it in …"
,Rounak Vyas,5 months ago,"Sofas are full of dirt ,place needs to clean staff must learn hospitality"
,NISHANT RAJ,6 months ago,"Dumb and rude staff - average coffee.
Better go barista - 400 m away"
,BKG BALKRISHAN VERMA,6 months ago,
,Mahesh Prajapat,6 months ago,
,Mayank Singhal,6 months ago,
,Devesh Baheti,6 months ago,
,Priyanka Parihar,6 months ago,It was always a good experience going CCD. We can chill with our friends for hours. Nice environment and clean ambience...
,Biki Sarma,6 months ago,
,RAMNARAYAN Prajapati,7 months ago,
,Business Hour,7 months ago,"Slow service, good coffee and drinks."
,BHOMA RAM MEGHWAL,7 months ago,
,Nitin Jain,8 months ago,"Little old furniture but centerly located in the heart of the city, on gaurav path, good place for coffee lovers"
,Dev vardhan singh khoja,8 months ago,
,Kartikeya Arya,8 months ago,"Good place, if u only love coffee
U won't get other good items if u expecting better and it's practically all about coffee …"
,puneet sahtani,8 months ago,Decent experience but need improvement
,Gaurav Borana,8 months ago,
,B R Choudhary,8 months ago,Already
,Khushali Mishra,8 months ago,"I had an amazing experience here.. it has an attractive ambience with good quality coffee..
Their cappuccino with choco chips cookies 🍪 and brownie sizzlers is my personal …"
,Vikram Singh,8 months ago,Some of the items were not available....which are normally available at other CCD outlets
,Hemraj kaswa Barmer,8 months ago,Late services
,Ashok Sankhala,9 months ago,CCD
,Priyesh Mehta,9 months ago,Absolutely unpleasant experience. The staff is extremely rude and super arrogant.
,Magister Hub,9 months ago,
,Harshit Gehlot,9 months ago,Quality of coffee has degraded a lot.. watery with artificial flavor. they are mixing orders and giving excuses that they taste the same. I used to like this place.
,vinod gaur,9 months ago,
,lakshaysme,9 months ago,"Doesn't deserve one star as well. Only had one person who does everything, from making coffee to food. The staff refused to take order till he completes the previous orders. Cafe decor 10 on 10. Management and staff deserves a 0"
,vijayant bidhuri,10 months ago,
,Saurav Kumar,10 months ago,"Absolutely garbage experience.
The place is run down with furniture that appears like it'll collapse in a day.
The coffee itself was a hard choice to make, as the place is out of 1-2 major ingredients all the time."
,Dushyant Joshi,10 months ago,How can you live without a Flat White. Brilliant coffee and a very peaceful place. Highly recommend!
,Harie Krishna pagadala,10 months ago,
,Mohit Bagrecha,10 months ago,
,Varsha giri,10 months ago,The washroom is extremely dirty with no water …
,Charvi Sharma,10 months ago,
,Rajat Arora,11 months ago,
,iyash Choudhary,11 months ago,Loved this place and i liked the devilish dark cold coffee that's so good
,JODHPUR GOSSIPS,11 months ago,"Coffee is superb, 2 more new drinks i enjoy but forgot the name."
,Mohammed Rafiq,11 months ago,Not good for personal discussion
,Reshma Pamnani,11 months ago,The cafe has now become shabby. They don't keep it clean. Like there wasn't any vibe to the place
,Venkatesh Iyengar,11 months ago,
,Gaurav Rathi,a year ago,Self service is bad thing
,Lalit Chawla,a year ago,
,Vijayshree Bohra,a year ago,
,Nikhil Lakhani,a year ago,
,Lalit Kumar,a year ago,
,Mayank Mansingh,a year ago,
,Anshula Kothari,a year ago,"It's all Old and Dull environment. The Old Used Furniture needed to be upgraded soon. A regular visitor might not get distracted by these but for a new Client it would be difficult to appreciate. And if the place smells, sitting upholstery …"
,Bhawna Singh,a year ago,
,UTKARSH BHARDWAJ,a year ago,
,Tamanna Pawar,a year ago,
,Shadab Suncity,a year ago,
,Ishan Joshi,a year ago,
,Kross Adventure,a year ago,
,Puneet Paliwal,a year ago,I just visit here for Crunchy Frappe 😋😁 …
,Sandeep vyas,a year ago,"Earlier it was best but now it lost it’s charm after mid 2020.
It’s not in good condition now even staff over there are so rude and arrogant specially one person whose last name is “vyas”. He was so unprofessional and impolite."
,Manoj Parihar,a year ago,
,Zameer Khan,a year ago,
,SHUBHAM KANNOJIA,a year ago,Very decent and calm environment. I spent almost 2 hour with no disturbance and was much relaxed. Food was fine. I only visit for perfect coffee time and to have some break.
,Jyotsana Rankawat,a year ago,
,pankaj Soni,a year ago,
