,name,review_time,review
"Ground Flr, Cordial Cyber Castle, Queen Tower, No. 250/7-1, NH Bypass, Kanaka Nagar, Nanthancodu, Thiruvananthapuram, Kerala 695003",Anjana B,a day ago,
"20:48,19-02-2024",Himesh Radhakrishnan,2 days ago,
,Vinod Hariharan,a week ago,"The coffee and snacks at this place are decent, with a satisfactory Caramel Cappuccino. The French fries, Chicken, and Veg Cutlet were also decent. Service was good, although slightly delayed. The ambiance could benefit from more cooling, …"
,Sanj Lobo,a week ago,I was exhausted & had some time before my flight. Dropped in for a quick coffee. …
,SREELAKSHMI C,a week ago,Vibe
,Viswanadham Kandukuri,a week ago,A good place to hangout
,resmy koshy,2 weeks ago,
,Maanush Mahabali,2 weeks ago,"This is not Cafe Coffee Day. However, the cafe is good and well-maintained. A good place to spend time."
,Sajith Bhaskaran,a month ago,
,Kris Subh,a month ago,"The calm and peaceful atmosphere, a breath of fresh air and a cup of coffee can make your day stunningly beautiful !"
,Deepu Vijayan,a month ago,
,Feba Joy,a month ago,
,Anas M R,a month ago,
,Vivek Munnan,a month ago,Suberb
,Jaya Krishnan,a month ago,
,Jose Maniangattu,a month ago,"Good place to catch up with friends. Spacious and good service.
Parking available on the road."
,Nandu Madhukumar,a month ago,
,SHYJU JOSEPH,a month ago,Nice
,Anuj Singh,a month ago,
,anup george,a month ago,
,parthana raj,a month ago,
,Irina Zolina,a month ago,
,jake regan,2 months ago,Nice place for meet up and hang out
,Jacob Verghese,2 months ago,
,Gautham Vallabhasery,2 months ago,
,M.Suresh Kanthan,2 months ago,
,Vinod Kattapana,2 months ago,
,Syam Mohan Sreedevi,2 months ago,
,Dr. Binu Natarajan,2 months ago,
,hari krishnan,2 months ago,Good place to chill
,Tead Dude,2 months ago,"Very bad service , manager is very arrogant 😡 …"
,gopika gireesam,2 months ago,
,Beneesh V K,2 months ago,
,KARTHI M S,2 months ago,
,FEBIN PAUL,2 months ago,Good
,Sreekesh S,2 months ago,
,Aruna B Mohan,3 months ago,
,Rejitha R Nair,3 months ago,
,kavitha jayasree,3 months ago,The place is just average. Customer service is also not up to the mark. They don’t even smile at the customer. The toilet is always dirty . I experienced the same thing last time also.. it stinks badly
,Lailaj Menon,3 months ago,"Very congested, lack of space and no parking"
,Jason Johnson,3 months ago,
,Pilot Adam harry,3 months ago,
,Adithya Shenoi,3 months ago,
,KALADHAR ALLAPURATH,3 months ago,Very calm place for small discussion along with good variety of hot and cold coffees
,Vishnu RV,3 months ago,
,Neha Kulkarni,3 months ago,"This is not Cafe Coffee Day if you go by the brand name CCD. This is a cafe called as 'The Coffee Day'. Hence, I was a little disappointed when I couldn't order the standard CCD menu. I hope they can update the name of the place properly. …"
,Vishak Hari,3 months ago,
,Giri Nair,3 months ago,"Cafe coffee day used to be my weekend haunt in early 2000 and I loved the Assam tea, Irish coffee, Hot chocolate, ice tea and frappe.
This time all 3(Irish coffee, hot chocolate and even simple cafe latte) was not …"
,Navin Varghese,4 months ago,Good one
,Jasniya PP,4 months ago,
,Nura Speakz,4 months ago,"It is a best place for official meetups. But about the food, it tastes yuck. We get better quality food from some other cafes in tvm for half of this price. For the price they charge, they should provide tastey food. Better go to startbucks nearby, cost is somewhat similar but quality is good. Or to zam zam buncafe."
,Dr Godwin S K,4 months ago,
,jk,4 months ago,
,Jaideep Nair,4 months ago,Slow service. 15 -20 min to brew a masala chai.
,manoj kovalam,4 months ago,Great place to meeting and co working space
,Jishnu J,4 months ago,
,Susan Thampan,4 months ago,Good place sit and work
,Vikas Kp,4 months ago,"This cafe is  now  'The Coffee day'  not  ""Cafe Coffee Day""

'Cafe Coffee Day's outlet was there in the same building 2 years before."
,Jemshid KK,4 months ago,Google maps had the operating hours wrong.
,Aishath Ibrahim,4 months ago,"Our go to cafe on a busy day. Belgium chocolate shots are my favorite. Lemonade is quite refreshing and cool, best for a hot day"
,bhagya s pal,4 months ago,
,Manoj Parameswaran,4 months ago,
,Hussain Gowsiya,4 months ago,
,Nicole Leah Abraham,5 months ago,
,Akhilesh S,5 months ago,
,Rudra Prajapati,5 months ago,Good place to hang out in and even work over coffee and bites.
,Krithika Swaminathan,5 months ago,
,anish kurian,5 months ago,
,Sreethi S R,5 months ago,
,Anoop Sudarsanan,5 months ago,Quiet
,Weekendswith Albert,5 months ago,"Limited food choice. Coffee is very good 💯
Friendly staffs …"
,Dr.Priya Babu,6 months ago,
,Jana Sreenivasan,6 months ago,"It's a good place to meet over a cup of coffee which is what the cafe stands for.... The atmosphere is just awesome... Food is okay, coffee is average, service is not up to mark, very lazy attitude."
,EbinPanicker Maranadu,6 months ago,
,Rahul,6 months ago,"Good service, fair value and tasty food and drinks."
,Rema S,6 months ago,It’s listed as coffee day but it’s not coffee day anymore.
,joicey joy,6 months ago,
,Bella Meraki,6 months ago,Old cafe coffee day rebranded as The Coffee Day.
,Krishna U,6 months ago,It's an average place for hangout. The ordered items were not up to the mark and service provided was terrible. They won't ask or confirm our order before they bill. I ordered 2 chocolate cappuccino and without asking my preference for …
,MERIN S RAJ,6 months ago,"Really Noooiiiice  ☕
It's  a kind of magic you can drink !!"
,Amey Mathew,6 months ago,
,Korah Kuriakose,6 months ago,This is no longer Cafe Coffee Day like the chain. This place has been rebranded as The Coffee day. The ambience is virtually the same. The menu is different but they cover most things offered by CCD. The staff are nice. Parking might be a challenge because of the popular location. This is a good place for discussions and conversations.
,Sibi Titus,6 months ago,
,RESHMA I R,6 months ago,
,Sanju Samuel,7 months ago,Cappuccino was more like a tall coffee mug of frothy milk with hint of coffee flavour! …
,ABI S “Soul Rider Abi”,7 months ago,
,Rohit Philip Saju,7 months ago,
,Kiran Shaji,7 months ago,
,Mahima VC,7 months ago,
,Barry Kenny,7 months ago,
,T J O CREATIONS,7 months ago,Coffe was outstanding as always.. Staffs were not that welcoming and coordial. All the rest was good.
,Nandhu D,7 months ago,Ok
,Praveen Chandran B,7 months ago,Very Good Customer service. They gave good suggestions as well.
,Angel Joseph,7 months ago,
,Edrin Eldo Kuliyanickal,7 months ago,
,Sinu George,7 months ago,
,SAJU ASSOCIATES,7 months ago,Very useful for Business deals....
,Shamnaz Nazarudeen,7 months ago,
,Neethu GeethaRajan,7 months ago,
,Jijith Jayakumar,7 months ago,
,Priya Jain,7 months ago,We hv just ordered for the drinks n both of the drinks tasted like hell....if you r mohito lover ... don't try here....
,Rajiv Mohan,7 months ago,Cozy place to chill.
,binoj reghunathan,7 months ago,
,Shalini bai,7 months ago,Very hype for the Coffee but Not that Much worth for the price. Great place To have some chit chat thats it!
,Girish Dinakaran,8 months ago,
,SARATH,8 months ago,This is not Cafe Coffee Day. Just Coffee Day
,Dr swedha Deepam,8 months ago,
,Arjun Prasanth,8 months ago,
,Nandita M,8 months ago,
,Nisha Chettri,8 months ago,
,George Kodickal,8 months ago,
,Kjmanoj Kj,8 months ago,
,Ashwin Anil,8 months ago,The waitress is really rude towards the customer. Could have appointed someone else who knows how to cater the customers.
,Ananda Krishnan,8 months ago,
,Hanush H Nair,8 months ago,
,Arjun Anil S S4 unitary,8 months ago,Good place tohave a cup of coffee and gave a good chit chat with your loved ones
,Sreejith,8 months ago,
,Rajeev A Rajendranath,8 months ago,
,Rohith Kuriakose,8 months ago,Good Experience 👍 …
,Lekshin Dev,8 months ago,
,Dr. Krishna Kumar,8 months ago,good place in Trivandrum to hang out
,Sravan Sreelal,8 months ago,
,Rightway Charitable Foundation,8 months ago,Good
,Sandeep T George,8 months ago,Good
,Athira Vishnu,8 months ago,
,Gouri Balachandran,8 months ago,
,Rahul R S,8 months ago,
,Deepak,8 months ago,
,Vidhu Visruthan,9 months ago,
,Vinod Johnny,9 months ago,
,Bala India,9 months ago,
,Jayakumar K,9 months ago,Good ambience and professional people
,Prithi Ajith,9 months ago,
,Ashwin Shenoy,9 months ago,
,Sushil Kumar Achint,9 months ago,
,Aparna R,9 months ago,
,Sambhu Vs,9 months ago,
,Balukrishna Krishna,9 months ago,Good food with good quality
,ameen chakravarthy,9 months ago,The location and food 👌 …
,randheep raj,9 months ago,
,Dr Godwin S K,9 months ago,
,Anitha Prabhu,9 months ago,Adipoli place
,Nooh Bava,9 months ago,Good ambience.
,Krishna A,9 months ago,
,ATHIRA T G,9 months ago,
,Nimmi Saimon,9 months ago,Nice ambience and service
,Gokul P Unnikrishnan,9 months ago,
,༎ຶٹ༎ຶ,9 months ago,
,MOHD ANSARI,9 months ago,
,georgie thomas ray,9 months ago,Food was very bad
,SACHIN S SATHI,10 months ago,Good vibes
,Realme 5i,10 months ago,The one positive thing about coffee day is that it's the perfect spot for working. It has the appropriate amount of space to relax and do your work.  Can't say the same about the food though. The food is a bit overpriced cause the quality doesn't match the price.
,Akhil Madhu,10 months ago,Nothing extraordinary about the  atmosphere but it's a better place for business or not too casual kind of meetings. The items are very expensive so if you feel like showing off on a first date this is your chance but don't expect privacy …
,S,10 months ago,The place is great to sit and do your work/assignments in peace but their coffee not so much. Their food items are great and will make you order seconds.
,NITHIN,10 months ago,The atmosphere was good. The service was good.But the crispy fried chicken burger was hands down the worst I ever had. Clearly overrated and not worth the money spent
,Jose Alex,10 months ago,One of the best
,RONAALD R,10 months ago,"One of the best CCD I've visited till now.
Cool blue is must try."
,soumya r,10 months ago,
,Jorjey Mathew,10 months ago,
,Dr.RESHMA NADH,10 months ago,
,Biju Jones,10 months ago,
,Pampally,10 months ago,Nice place to chill out. It seems to be a best place to hangout for younger people. But it's something expensive not for the ordinary people.
,arjun narayanan,10 months ago,"Except for the ambience nothing was good. Paid 800+ for a burger , sandwich , masala tea and cappuccino. Tea and cappuccino were Okayish but the burger and sandwich were awful. Order Smokey sandwich but it tasted way too bad that just …"
,Adarsh Mohan,10 months ago,
,jegan R.S,10 months ago,Qualify not good
,Agnew Alexander,10 months ago,
,Ebi Varghese,10 months ago,Awesome place
,Sooraj Rajan,10 months ago,"The main advantage for this shop is the location, a good location for people to meet, discuss and socialise over a coffee/snacks. …"
,Dileep Gopakumar dileep.gopakumar,10 months ago,Best place to sip a coffee and have a brief  business or friendly meet up
,Nirmal Jovial,10 months ago,
,Jessy Jobin,10 months ago,
,Sam Stephen,10 months ago,"One of the best cafe coffee day visited

Simply awesome 😎 …"
,Jacob Kuruvilla “Jakes” K,10 months ago,Great place to relax and bmvery courteous team. Nice ambience and descent food options and good food
,Gopika Goppz,10 months ago,
,ABHILASH B,10 months ago,Bourbon shake was just average shake
,Arya Suresh,10 months ago,
,Naseem S,10 months ago,Nice place to have coffee. Don't expect service.
,SIDKAR S,11 months ago,I love it it is my first time 😊 …
,Renoy Francis,11 months ago,Food they were serving is not up to the quality while compared to the price. Need to improve the food quality. Burger patty is too hard and the sandwich bread is also sticky. Inside AC cooling is also too low. Other than that it's a great place for a coffee and discussion
,Nithin Raj,11 months ago,Yes its costly but they maintain quality and that should be appreciated!
,Rajath K.S,11 months ago,Peaceful
,Cinu Thomas,11 months ago,
,Dipankar Rajaram,11 months ago,
,Denver Cleatus,11 months ago,
,jessil ca,11 months ago,
,Swathi Krishna,11 months ago,"I dont understand why they don't give options for quantity. I had ordered cappuccino  and found it really difficult to finish it. Also, there was nothing great about the coffee. Ambience seemed great from outside but it was really hot in the open area even in the late evening. Could have added more fans."
,SS SYSTEMS KOVALAM,11 months ago,
,Rahul Ramachandran,11 months ago,
,Arun Lal A,11 months ago,I don't like coffee.. Cappuccino caramel flavor.
,Abhijith VJ,11 months ago,
,Christopher Devassy,11 months ago,
